guia_internacional,compania_remitente,contacto_remitente,email_remitente,direccion_remitente,telefono_remitente,codigo_postal_remitente,compañía_destino,nombres_destinatario,email_destinatario,direccion_destinatario,telefono_destinatario,codigo_postal_destino,ciudad_destino,estado_destino,pais_destino,contenido,piezas,peso_libras,peso_kilos,valor_declarado_usd,posicion_arancelaria,mawb,codigo_formulario,guia_nacional,estado_guia,fecha_estado,id_unidad_transporte,liberar,revisar,fecha_liquidacion,codigo_despacho,tipo_identificacion_destinatario,identificacion_destinatario,apellidos_destinatario,clase_envio,val_otros_usd,val_trm,por_iva,nuevo_valor_declarado_usd,por_arancel,fecha_envio,lote
INTM10001,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10002,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10003,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10004,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10005,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10006,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10007,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10008,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10009,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10010,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10011,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10012,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10013,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10014,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10015,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
